,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.8,2.2,2.4,2.6,2.8
0.04,0.574,0.662,0.683,0.705,0.709,0.708,0.707,0.706,0.705,0.675,0.689,0.674,0.652,0.588,0.15,0.15,0.15,0.15
0.05,0.569,0.662,0.715,0.758,0.777,0.781,0.784,0.784,0.778,0.756,0.723,0.7,0.681,0.598,0.15,0.15,0.15,0.15
0.06,0.54,0.65,0.725,0.766,0.794,0.809,0.814,0.816,0.812,0.81,0.786,0.758,0.701,0.627,0.15,0.15,0.15,0.15
0.07,0.525,0.635,0.71,0.763,0.794,0.821,0.824,0.834,0.831,0.831,0.824,0.809,0.759,0.698,0.15,0.15,0.15,0.15
0.08,0.503,0.615,0.698,0.753,0.792,0.823,0.832,0.844,0.847,0.848,0.843,0.835,0.807,0.749,0.15,0.15,0.15,0.15
0.09,0.481,0.598,0.681,0.74,0.784,0.82,0.831,0.845,0.852,0.853,0.852,0.848,0.826,0.786,0.15,0.15,0.15,0.15
0.1,0.461,0.574,0.666,0.727,0.777,0.81,0.827,0.842,0.853,0.857,0.859,0.859,0.841,0.817,0.719,0.15,0.15,0.15
0.12,0.417,0.534,0.629,0.698,0.75,0.787,0.814,0.833,0.847,0.857,0.862,0.864,0.858,0.843,0.786,0.726,0.15,0.15
0.14,0.383,0.498,0.588,0.665,0.723,0.77,0.797,0.821,0.837,0.85,0.859,0.864,0.864,0.855,0.818,0.779,0.729,0.15
0.16,0.353,0.461,0.554,0.636,0.699,0.746,0.78,0.806,0.827,0.842,0.852,0.858,0.867,0.863,0.839,0.811,0.771,0.726
0.18,0.324,0.429,0.519,0.602,0.67,0.722,0.762,0.79,0.812,0.83,0.844,0.853,0.864,0.865,0.849,0.831,0.8,0.76
0.2,0.299,0.373,0.487,0.57,0.64,0.668,0.74,0.774,0.799,0.82,0.835,0.845,0.859,0.865,0.855,0.843,0.82,0.783
0.3,0.204,0.275,0.343,0.411,0.489,0.552,0.612,0.667,0.71,0.743,0.773,0.792,0.824,0.857,0.858,0.853,0.85,0.84
0.4,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.687,0.728,0.777,0.809,0.84,0.845,0.848,0.845
